bp,A1: VK_Corrielle_1,A2: VK_Corrielle_2,A3: VK_Corrielle_3,A4: VK_Corrielle_4,A5: VK_Corrielle_5,A6: VK_Corrielle_6,A7: VK_Corrielle_7,A8: VK_Corrielle_8,B1: VK_Corrielle_9,B2: VK_Corrielle_10,B3: VK_Corrielle_11,B4: VK_Corrielle_12,B5: VK_Corrielle_13,C1: YG_Corrielle_1,C2: YG_Corrielle_2,C3: YG_Corrielle_3,C4: YG_Corrielle_4,C5: YG_Corrielle_5,C6: YG_Corrielle_6,C7: YG_Corrielle_7,C8: YG_Corrielle_8,D1: YG_Corrielle_9,D2: YG_Corrielle_10,D3: YG_Corrielle_11,D4: YG_Corrielle_12,D5: YG_Corrielle_13
85,4.399610936,13.42836171,53.91030623,70.98785466,72.22789708,72.49996129,51.97911144,76.7186309,78.06637077,70.89219495,79.74675992,71.39742765,37.79161207,66.66882184,51.95877531,38.85120556,32.28245002,48.77943765,48.40591862,63.53332109,79.38177527,45.9241889,61.67182196,54.31943392,66.5745294,43.45645811
86,5.13969986,13.50152224,55.69077136,75.83371772,76.92239396,77.45004846,55.79294155,86.97216742,82.92965989,74.40530049,84.67350711,75.27980579,39.43498681,72.13737192,56.15245479,41.15408537,34.20566511,51.86362486,50.95814673,67.63178215,84.27994472,49.53423009,65.5181897,58.78873223,71.47686182,46.35014089
87,5.860215947,13.91130015,57.88878017,81.16889154,81.85856628,82.4995309,59.304969,92.30117024,88.98799718,78.92480284,89.82293161,79.71344227,41.25470066,77.71242605,60.30229312,43.88170656,36.70768371,55.33447833,53.61960188,71.91580113,89.69729769,53.38762702,69.08556833,63.09038764,76.3236047,49.34148337
88,6.354345149,14.50833927,61.00387912,86.56806194,87.44149784,87.59572234,62.74589884,97.50570733,95.35084548,84.47424064,95.2015272,84.93300238,43.58757613,83.21597346,64.09675307,47.09178765,39.60282371,59.19422676,56.63982906,76.57618838,95.80667464,57.77478992,72.61338762,67.21636179,81.47291875,52.46401866
89,6.672990872,15.26182847,63.98682625,91.6175964,92.15809007,92.93531227,66.3580714,103.9201709,101.5447092,90.6074575,100.9736178,90.87774955,46.68316604,88.64352744,67.57197047,50.82220835,42.68613528,63.35794786,60.21194194,81.67903454,102.2311218,62.74750991,76.41688157,71.20771093,87.13053218,55.77314464
90,6.945539633,16.23850969,68.02900717,96.25802626,94.93170138,98.79172014,70.34659923,110.6822512,107.6729512,96.76837219,107.1961229,97.25835394,50.52798816,94.08583362,71.09127544,54.94390354,45.84236423,67.67964931,64.35585444,87.06453989,108.4507657,67.94734373,80.7172703,75.47797667,93.22221135,59.30230926
91,7.225260381,17.46439416,77.17793616,100.9517951,97.37049633,105.2600208,74.8571304,118.0950487,113.734408,102.6359226,113.7174409,103.7125246,54.79861234,99.62261441,75.17707165,59.0564674,49.07966732,71.98337057,68.85421723,92.39192645,114.2829761,72.65283993,85.49940942,80.56711994,99.41471326,63.01574356
92,7.516233425,18.69974914,84.97340781,106.3041689,102.3341041,112.0536225,79.87981057,126.045937,119.9346173,108.3747995,120.8239941,110.1433498,59.16764419,105.1929795,80.01216153,62.86731376,52.43629843,76.15844274,73.43752134,97.58125749,120.1658891,76.49294377,90.49414742,84.64420073,105.4746452,66.81575267
93,7.805552176,19.71978936,89.3193243,112.6288241,109.6791417,118.8936078,85.21398979,134.3373063,126.537204,114.4210849,127.4150074,116.6426648,63.37721888,110.7132141,85.41918514,66.52744441,55.97872743,80.3104773,78.03857352,102.8847486,126.613683,79.71351654,95.49941057,87.11323266,111.4643967,70.75618978
94,8.064411956,20.47164976,94.46365401,119.8146975,116.7869391,125.7411322,90.56738181,142.8516752,133.7494662,121.2031952,133.7113008,123.3780812,67.27854092,116.1687457,91.00564972,70.50384729,59.80041324,84.71426,82.85095639,108.7787967,133.8923818,83.04427861,100.5660881,89.70260086,117.6868773,75.08308974
95,8.221579147,21.12257041,99.87610677,127.4529448,123.6611598,132.8851691,95.81697667,151.4465094,141.6399951,128.7521374,147.2491545,130.4458036,70.89000529,121.6894764,96.48130966,74.97035003,64.00440359,89.55432512,88.19646027,115.6552227,141.8878254,87.14512726,106.0630668,94.71255127,124.3902248,80.07884744
