bp,A1: VK_1,A2: VK_2,A3: VK_3,A4: VK_4,A5: VK_5,A6: VK_6,A7: VK_7,A8: VK_8,B1: VK_9,B2: VK_10,B3: VK_11,B4: VK_12,B5: VK_13,B6: VK_14,B7: VK_15,B8: VK_16,C1: YG_1,C2: YG_2,C3: YG_3,C4: YG_4,C5: YG_5,C6: YG_6,C7: YG_7,C8: YG_8,D1: YG_9,D2: YG_10,D3: YG_11,D4: YG_12,D5: YG_13,D6: YG_14,D7: YG_15,D8: YG_16
566,7.525345319,3.628287596,6.467802459,4.682382556,20.36131178,0,7.447071854,5.817703357,3.064584326,10.8073058,1.871359114,8.624863123,10.25232153,4.819986085,2.56391346,3.269716261,2.915390371,3.296411838,5.538125463,3.431844035,3.11347415,5.333862268,3.135092429,4.80361916,54.16851454,1.94741457,4.722141103,0,0,2.703516209,0,0
567,7.227508258,3.388504939,6.283946924,4.71983538,20.69323831,0,7.118963429,5.820578937,2.785364578,10.96289825,1.687959147,8.335693027,9.983361015,4.794080536,2.729131032,3.270597318,2.364261185,3.58976523,5.74727227,3.618635871,2.489107704,4.977502395,3.383324775,5.380614737,53.62641441,2.212607672,4.688452735,0,0,1.981388038,0,0
568,6.626821829,2.931677279,6.133966696,4.981480609,21.24368018,0,6.91710462,5.652877122,2.776777339,11.22346359,1.494931999,8.008789659,10.16733342,4.904094519,2.937394708,3.418968021,1.828008058,3.631773691,5.497030663,3.964054429,1.845081775,4.562668331,3.562430819,5.910736041,53.23883248,2.493100066,4.652775812,0,0,1.551522412,0,0
569,5.72055848,2.357393553,6.013389855,5.50008793,21.89161354,0,6.935779082,5.34936321,3.019714484,11.35054247,1.248204001,7.632659534,10.75771501,5.018242373,3.239100452,3.737963776,1.6368478,3.381194755,4.909519846,4.330477332,1.313285354,4.208670295,3.516068958,6.253611508,53.0049367,2.658175252,4.592066275,0,0,1.495666901,0,0
570,4.658380037,1.814960334,5.898808917,6.295197759,22.40961437,0,7.159671384,5.071617217,3.423687675,11.18114492,0.985408535,7.178316186,11.52198601,4.997430702,3.637918479,4.183620566,2.051018738,2.94675271,4.304870252,4.58123431,0.975524227,3.987452501,3.194233777,6.364639192,52.89458262,2.623396258,4.522313529,0,0,1.820133964,0,0
571,3.676557854,1.415124105,5.759922319,7.310491647,22.64879512,0,7.401826787,4.914720773,3.875482774,10.79815567,0.895573323,6.748219587,11.93004581,4.818319879,3.984877361,4.591651339,2.980089147,2.557125746,4.010825969,4.733523968,0.881017999,3.863646899,2.826193606,6.423479347,52.86933682,2.497056577,4.469374916,0,0,2.463155846,0,0
572,2.963623708,1.217184117,5.595726564,8.398988831,22.57954974,0,7.455941135,4.884768061,4.26797711,10.33408182,1.102966253,6.47668478,11.8122346,4.421366472,4.145812903,4.798679068,4.122393738,2.388740805,4.173321656,4.86302043,1.056666428,3.786157007,2.580717002,6.626111437,52.88430094,2.388510977,4.449644258,0,0,3.305519695,0,0
573,2.568762109,1.203847408,5.463206943,9.285584917,22.35441335,0,7.177744857,4.858856438,4.518921204,9.885192823,1.52425243,6.480851924,11.78622722,3.645411166,4.098796609,4.71172858,4.972864194,2.452038024,4.589630476,5.068957959,1.500327197,3.729806736,2.369682965,7.073748996,52.88517213,2.305866941,4.456915089,0,0,4.154268411,0,0
574,2.435390653,1.356194154,5.409374815,9.755941237,22.10979441,0,6.611092402,4.768400009,4.585919394,9.491092325,1.932598538,6.718207723,11.70526025,2.794700754,3.925337058,4.362400534,5.265906075,2.635936566,4.98391962,5.327152376,2.149149559,3.677667585,2.112524175,7.684487154,52.79523699,2.186184763,4.484726086,0,0,4.813672695,0,0
575,2.448361479,1.656555638,5.458627487,9.698525935,21.93144357,0,5.966565948,4.61256957,4.470881485,9.148810325,2.038650804,7.005993262,10.85099843,2.456374905,3.761648442,3.879111448,5.013219802,2.761481885,5.097419819,5.509812111,2.895711154,3.613328794,1.791580205,8.234353515,52.52405652,1.937676432,4.517618183,0,0,5.118123799,0,0
576,2.606976963,2.058850973,5.582931077,9.238100496,21.78566682,0,5.525554874,4.445508216,4.252549081,8.870506126,1.801317259,7.129646951,9.46858463,2.452901072,3.602275728,3.371184113,4.550436022,2.774294518,4.955724201,5.515390727,3.66087369,3.495536494,1.584732235,8.534160719,52.0092216,1.605144667,4.473361824,0,0,5.057927051,0,0
577,2.96532246,2.494669204,5.715295601,8.621732252,21.61177524,0,5.499098691,4.307430548,4.037633006,8.662098043,1.35080162,6.949594787,8.070764914,2.510595263,3.362963512,2.913075602,4.248252821,2.709493118,4.718686177,5.317037797,4.373936078,3.307544572,1.639211554,8.503012831,51.24946773,1.284780598,4.274104558,0,0,4.702623115,0,0
578,3.598425022,2.868214678,5.740630935,8.175066805,21.39528805,0,5.855992228,4.153903158,3.927484183,8.499384916,1.002336481,6.541641881,6.904725603,2.84318216,2.903368989,2.515016215,4.258183915,2.704121127,4.608332667,5.045714018,4.956059494,3.117685138,1.84364646,8.292301476,50.37065676,1.067665185,3.918781659,0,0,4.171869658,0,0
579,4.428882519,3.119607613,5.54281113,8.06721573,21.18024176,0,6.411696328,3.936169223,3.919540367,8.385700389,0.940844129,6.068573902,6.108835818,3.547968947,2.207652407,2.229558674,4.481808613,2.868311145,4.742299612,4.831512755,5.29883996,3.012440656,2.097025429,8.056890765,49.55292185,0.959449282,3.49364134,0,0,3.567682384,0,0
