bp,A1: JW_1,A2: JW_2,A3: JW_3,A4: JW_4,A5: JW_5,A6: JW_6,A7: JW_7,A8: JW_8,A12: Std_1,B1: JW_9,B2: JW_10,B3: JW_11,B4: JW_12,B5: JW_13,B6: JW_14,B7: JW_15,B8: JW_16,B12: Std_2,C1: VK_1_501,C2: VK_2,C3: VK_3,C4: VK_4,C5: VK_5,C6: VK_6,C7: YG_1,C12: Std_3,D1: YG_6_427,D2: YG_9,D12: Ladder
720,0.5401501486752662,5.531364331783156,0.0,0.6536858383160615,1.4649512563486775,1.317357613617946,0.4524021861569183,1.178197039115375,2.217755491838808,0.0,0.0,2.0028494151839267,3.136654446227421,1.677497179917608,0.0,3.31968997552226,3.056928271473675,0.0,0.885364484101881,0.0,0.0,0.9961054683310332,1.8771045663947699,0.5475196895792172,0.0,3.694115390959228,0.39995120734106504,13.76429600593537,6.177826268083363
721,0.8636863494921653,4.74972930518916,0.0,0.576705532459028,1.3236714112277,1.0474036789232934,0.5104979060294763,0.8591877996106373,2.0781572117962304,0.0,0.0,2.2917948631809066,3.403429147770545,1.9339154569489283,0.0,2.5617760695665135,3.389669404182568,0.0,0.7410889811252004,0.0,0.0,0.15283302397016085,2.4533498093322574,0.41940281902807386,0.0,3.956393650955857,1.0149301989039345,13.38599761447015,5.178049823551815
722,1.138665317185139,3.984894804402543,0.0,0.5591702492411045,1.1373986401916016,0.790223125849685,0.7082965160508465,0.5999836539905633,1.9341392685519343,0.0,0.0,2.421765702977218,3.7044368693629526,2.1681782274598795,0.0,1.6056138062996563,3.829191248427424,0.0,0.5385947766560427,0.0,0.0,0.0,2.914927693672359,0.42585968555346465,0.0,4.234731261229266,1.5606743492354795,13.049993647317601,4.38464553706645
723,1.4092345311118502,3.4776195101237075,0.0,0.6178248437494654,0.9616682806775545,0.5771565574402774,0.9879457855190359,0.6629629241002712,1.825817798692189,0.0,0.0,2.3191056285309894,3.9877039817869537,2.2568728144113064,0.0,0.5724553160787957,4.187105555769467,0.0,0.3139307872236298,0.0,0.0,0.0,3.1383449168308775,0.5259773800411798,0.0,4.53166051200747,2.031727902490398,12.787582323689563,3.91797539536899
724,1.70472484044162,3.3646735055969432,0.0,0.7464646056362516,0.8068827223403752,0.4250510609977501,1.2910593028953024,1.0430474104242617,1.7726523003348635,0.0,0.0,1.9885514218151166,4.207468098239682,2.1665251972514454,0.0,0.0,4.354398722850832,0.0,0.10261216093306838,0.492946402927228,0.0,0.0,3.0660206395464855,0.6677497489427017,0.0,4.820712116365674,2.421159118562812,12.611611481060356,3.818098209220021
725,2.038382781541777,3.6702717274642613,0.0,0.9140864968936889,0.63461606687348,0.3351015549878832,1.5587241569412922,1.4458042672944866,1.7717556739388578,0.0,0.0,1.5195937374594817,4.32469604327157,1.960929057810081,0.0,0.0,4.3079915303503595,0.0,0.0,0.8789795188380415,0.04042062820699231,0.0,2.7116911624823747,0.7872218673219019,0.0,5.044050024064769,2.720420795692916,12.515001140977379,4.038165974999696
726,2.40114127742989,4.365229509833383,0.161489282122596,1.092759845203446,0.41272454275626314,0.3089004220548143,1.7423433862898878,1.6299822326723354,1.8138239488184047,0.0,0.0,0.9956345126039058,4.307976193532464,1.7121911620136765,0.0,0.0,4.0603728119937905,0.0,0.0,0.9554760992153967,0.6924865751192049,0.0,2.115685858408282,0.8342757410933209,0.0,5.142967149503315,2.924608232374157,12.488674364117074,4.5040871081917935
727,2.716144475770096,5.269770400356685,0.4649761016016707,1.2681319063493286,0.1365324820807214,0.35175170717101,1.8259109089785512,1.567379878650818,1.872842906379427,0.0,0.0,0.46757270132334494,4.14885711477509,1.5033329216564182,0.0,0.0,3.7226139348922853,0.023497966923329533,0.0,0.898059948755785,1.3056776795804237,0.0,1.3909307578642052,0.8042743370729617,0.0,5.060939667761463,3.04054897335271,12.52039219419017,5.069572783068177
728,2.8989334237577546,6.1793295872737275,0.7114553977338972,1.430353638073419,0.0,0.46801439629826797,1.801830091660942,1.2764070604705149,1.920294815318318,0.0,0.0,0.0,3.846836859323483,1.413622859909861,0.0,0.0,3.418871159516492,0.01881885721370724,0.0,0.9188097998763238,1.7694657816216572,0.0,0.6610951415773517,0.7055589194865172,0.0,4.749652919061637,3.078476281107672,12.596203719496964,5.581177112656642
729,2.926173240120314,6.940672616627957,0.8812205801524037,1.58920713301156,0.0,0.6441436585326883,1.6839535698772183,0.8262728025743986,1.9360000161012292,0.0,0.0,0.0,3.438178476847082,1.4592678239809471,0.0,0.0,3.2060960499876088,0.0,0.03176375932835821,0.9718380288690489,2.013843501011712,0.008164069784814376,0.012200700286012,0.5896929465924877,0.0,4.243986458703672,3.060391508793574,12.69049536930364,5.960610028406362
