bp,B1: 0.1X JW_Sheared gDNA_1,B2: 0.1X JW_Sheared gDNA_2,B3: 0.1X JW_Sheared gDNA_3,B4: 0.1X JW_Sheared gDNA_4,B5: 0.1X JW_Sheared gDNA_5
131,647.779748531899,795.5772204442535,565.9598863113429,60.862320388258176,754.2090714793628
132,668.9923397959918,819.8706462762226,586.0091092147463,63.82729675536273,780.499256550004
133,692.1336665466164,845.2318632586342,607.9436852460665,66.99928172979651,807.8347143852509
134,717.3165073032233,872.4457885709402,631.4517266905823,69.83496602207887,836.9159342432527
135,744.7289461067032,902.1425833018353,656.4522164662749,71.89811874450596,868.6074925260551
136,774.5951538061211,934.6777496584223,683.0600635059902,73.06522783483366,903.5224905261673
137,807.1185144998959,969.944782596171,711.5428364279028,73.81503228578681,941.5319111017141
138,842.2899999999997,1007.5399999999998,741.8300000000002,74.78,982.0900000000001
139,879.7968210342742,1046.8259341059456,773.4923582484914,76.49974036198141,1024.4241181640218
140,918.7707947806065,1086.95970638519,805.8126968532038,78.92632353649024,1067.832983715404
141,958.0650516822982,1127.006822212246,838.2136743963158,81.71879579031194,1111.5469238197452
142,996.4344049059259,1166.006799489874,870.4008630974735,84.39596482069022,1154.651642816477
143,1033.187308506657,1203.1832074718106,902.2032158044651,86.78042301135962,1196.0009055698217
144,1068.098785821848,1237.970230989658,933.3340315243618,88.88117651476263,1234.5654455288793
145,1101.3956351824772,1270.082568000018,963.1739614592107,90.80760430819561,1269.8142955607232
146,1133.1499449792716,1299.3989337506189,991.0351661508176,92.57354797374958,1302.0646045551746
147,1163.2376720563252,1325.9699662071312,1016.357529571564,94.11554590223643,1332.235254371155
148,1191.374056832595,1350.1322982999625,1039.100130964243,95.36508941944666,1361.4172480251423
149,1217.5682216975492,1372.400693705041,1059.6967266722636,96.3381195525221,1390.2894693516357
150,1242.2287977725664,1393.4046373198296,1078.9984162532894,97.15074259297593,1418.9917100800633
151,1265.9749902463204,1413.683484213464,1097.9425965088637,97.9518625367943,1447.40588441569
152,1289.223296452254,1433.6366279509282,1117.2725305461959,98.81841846903478,1475.4455228657014
153,1311.891103458103,1453.4675060108034,1137.2950094108742,99.68222365671298,1503.219230479456
154,1333.7517903955566,1473.2701440470198,1157.7976154927878,100.48665495097684,1530.7017247017468
155,1354.6790590880375,1493.1043125482609,1178.2806724372476,101.25150605895563,1557.719864140996
156,1375.01726208433,1513.085524680787,1198.2666118005834,102.17289257987778,1583.9551669672358
