bp,E1: JW_1,E2: JW_2,E3: JW_3,E4: JW_4,E5: JW_5,E6: JW_6,E7: JW_7,E8: JW_8,F1: JW_9,F2: JW_10,F3: JW_11,F4: JW_12,F5: JW_13,F6: JW_14,F7: JW_15,F8: JW_16
110,94.98735345,206.4792211,29.68163573,191.2200079,235.9146525,175.3739364,213.2057619,102.6881063,52.34782091,71.90238399,13.53318095,176.6990518,129.7677457,199.5308598,170.6341466,155.2596372
111,98.43439102,215.3239713,31.12394159,199.9737954,245.3932573,183.6298105,222.0735131,106.9080274,54.39230614,74.22212222,14.15680773,185.0993937,136.3153476,208.2166673,177.6550356,162.2417751
112,101.8816522,224.6907076,32.70423336,209.167256,255.2999068,191.908675,230.9430536,111.3738181,56.03937009,76.55848807,14.66311575,193.8514576,143.2519175,216.9903552,184.3969095,169.3431952
113,105.4106767,234.621021,34.39743441,218.4746718,265.5295374,199.8122192,239.6018827,115.9634543,57.48405495,79.09444966,15.15391478,202.7613402,150.3732774,226.2180369,191.2096824,176.3372881
114,109.0373589,244.8429639,36.02677823,227.3394878,275.995065,207.3009292,248.112092,120.4586677,58.86604762,82.01891139,15.88544707,211.4435507,157.3582721,235.7894983,198.3176039,183.1646358
115,112.7730104,255.0529854,37.37847969,235.3698461,286.6465712,214.5085631,256.706073,124.7315038,60.26750748,85.42016295,16.99236773,219.5931249,163.8947816,245.3862909,205.6901014,189.8495415
116,116.6509058,265.0936605,38.29014652,242.6052005,297.4608684,221.6321223,265.7133133,128.8519486,61.72516179,89.21105619,18.31509103,227.1661837,169.7768591,254.6573204,212.9748444,196.4479647
117,120.6602638,275.1017509,38.86400593,249.5804063,308.2581807,228.7387815,275.2690731,132.9859482,63.34764139,93.15822518,19.44653278,234.4533424,175.0846605,263.5880512,219.8526485,202.9289132
118,124.7471179,285.2802188,39.38408307,256.9159403,318.8003604,235.7771717,285.3077652,137.3029713,65.23462392,97.01072678,20.0002932,241.903005,180.1015827,272.3855639,226.241891,209.2556746
119,128.8161425,295.6420553,40.23438957,264.8729001,328.916748,242.6339843,295.5403755,141.8834959,67.37058092,100.6397656,19.92455621,249.9450417,185.2791623,281.3644888,232.5395293,215.4913037
120,132.8294716,305.9588365,41.58996877,273.317921,338.683925,249.9223273,305.6919252,146.7165976,69.63324223,104.0796765,19.62008779,258.7367802,191.3932326,290.7402492,239.253957,221.8341112
121,136.8098933,315.9383603,43.39543638,281.9364728,348.3901129,258.0626117,315.6241547,151.7358724,71.90237633,107.4766484,19.71378762,268.1734661,198.671793,300.5795896,246.7904715,228.5695386
122,140.8280509,325.6187252,45.3680471,290.6659863,358.4510936,265.1945593,325.5584363,156.8826776,74.29422573,110.9919454,20.57041405,277.9352896,204.9202953,310.7255651,255.0851322,235.970099
123,144.9269995,335.3096181,47.27587984,299.6902833,369.2755771,274.9470225,335.8599947,162.0908518,76.99479087,114.7475363,22.07229775,287.8245246,213.0470679,320.9868851,263.9346368,244.131133
124,149.1142815,345.4919895,49.0192492,309.3770435,381.2280228,293.8833093,346.910821,167.3121383,80.13893481,118.8149874,23.66669707,297.8870088,229.089572,331.2587675,273.1492132,252.9491055
125,153.4198481,356.4404413,50.64516674,320.0022629,394.6248306,311.1004654,358.812155,172.6455507,83.49070999,123.2319538,24.86816144,308.5200596,244.5726752,341.817955,282.822313,262.2401815
126,157.9220905,368.2800232,52.2152521,331.724944,409.6640029,320.4977325,371.5420066,178.2953854,86.69246287,127.937257,25.47555918,320.1330144,254.4315104,353.1500377,293.1928355,271.918971
127,162.7716284,381.0346533,53.7485314,344.564824,426.3639899,331.1308189,385.058701,184.5322258,89.43396672,132.7521821,25.68701218,332.9448929,265.3681163,365.8303195,304.5714981,282.0947289
128,168.2068756,394.8776112,55.30837618,358.4427348,444.5552255,344.5612416,399.5351714,191.4622157,91.79475272,137.6331127,25.80046875,346.8595799,278.1512234,380.1220324,317.2079376,292.9581439
129,174.3768988,410.0345532,57.01850057,373.2241888,463.9459478,358.9065292,415.1551514,199.0003148,94.09632847,142.7151687,26.06682219,361.6562995,291.0620848,396.0199263,331.1960395,304.6549609
130,181.1560313,426.6579168,59.07485203,388.7444551,484.1655319,374.1564137,431.8702317,206.8348641,96.7590341,148.3550469,26.55436283,377.1760073,304.3842686,413.2673709,346.3364733,317.1535066
131,188.5763301,444.6650202,61.54989895,404.8048458,504.8928889,389.9028944,449.3512359,214.8123328,99.96810637,154.6888122,27.24617892,393.4279985,318.2433853,431.5501236,362.1454048,330.3261023
132,196.3242664,463.7852975,64.37471585,421.1940228,525.8816296,405.4150754,467.1357806,222.9792926,103.6801942,161.5589733,28.08689433,410.4680418,332.4557854,450.5416947,378.0339242,343.9853657
133,202.6541657,483.6578215,67.33051308,437.7282182,546.987643,420.4494846,484.9158262,231.5923796,107.6829074,168.4315801,29.0376533,428.1178607,346.8328868,469.9305686,393.6568035,357.9154298
134,210.0333163,503.9137073,70.28423445,454.1932944,567.9932816,434.9518305,502.5295029,240.7475001,111.7905571,174.862768,30.08228066,445.9621901,361.1373771,489.3904598,408.9717398,371.8790438
135,223.1716858,524.18433,73.2289487,470.289439,588.5302744,448.9320326,519.8834155,250.2876643,115.8881417,180.666066,31.23216698,463.4367594,375.0784004,508.5549958,424.1456364,385.6251922
136,234.7595981,544.0519839,76.188785,485.4722622,607.9626665,462.2820662,536.642756,259.8376603,119.9008581,186.0870973,32.53877146,480.2033067,388.3496201,526.9496527,439.0971885,398.9167711
137,240.6543491,563.2304597,79.09136142,499.2422592,625.8035021,474.9037433,552.4485517,269.1499074,123.7657892,191.4398834,34.02346431,496.2382643,400.6767523,544.1726875,453.6257242,411.6346058
138,246.4583687,581.6510418,81.70999727,511.334735,641.9459332,486.7498169,567.0287528,278.2519139,127.4133647,196.8966077,35.61639297,511.8235085,411.8533777,560.0137578,467.4768361,423.8213826
139,252.584343,599.2466338,83.81999997,521.9178357,656.573948,497.6101982,580.1676212,287.0841026,130.7210927,202.2819129,37.02386056,526.8534429,421.7878155,574.5290705,480.4021057,435.4777739
140,257.4234042,615.9938413,85.34507234,531.4789204,670.0071652,507.2579791,591.8133186,295.4967424,133.5572121,207.355858,37.93887355,540.9943314,430.664406,588.0279405,492.2598013,446.6259896
141,261.1207355,631.9584256,86.50239169,540.7267072,682.5694365,515.6147225,602.2097712,303.2703423,135.8322448,212.0848318,38.26774655,553.872389,439.1408985,601.0687638,503.1279794,457.3796111
142,263.937383,646.979413,87.47402269,549.9578727,694.3406072,522.8087639,611.6228991,310.305345,137.5718212,216.5035655,38.2219305,565.4297646,447.9315206,613.8397869,513.1673284,467.7428801
143,266.1762327,660.8208133,88.35255822,559.1422819,705.313952,529.1598948,620.3616087,316.6639685,138.9161571,220.6692919,38.17148171,575.9513132,457.5892474,626.1930581,522.6552269,477.6503519
144,268.4956911,673.5277492,89.10637211,568.1683299,715.7317069,535.1868849,628.9009519,322.6376389,140.1269927,224.6220035,38.38488596,586.1040833,468.1515564,637.7881961,532.1110207,487.0790369
145,271.4360062,685.4030623,89.75272012,577.1103042,725.8831217,541.37457,637.6954165,328.4357879,141.3729075,228.4334909,38.93797859,596.3483085,479.2337009,648.4584109,541.9073431,496.0985523
146,275.2606525,696.9327865,90.39179863,586.215456,736.0264765,548.0857903,647.0850655,334.1243261,142.7020486,232.197289,39.7369499,606.8068841,490.1826912,658.328295,552.145897,504.8847706
