bp,A1: VK_1,A2: VK_2,A3: VK_3,A4: VK_4,A5: VK_5,A6: VK_6,A7: VK_7,A8: VK_8,A9:,A10:,A11:,A12: Std_1,B1: VK_9,B2: VK_10,B3: VK_11,B4: VK_12,B5: VK_13,B6: VK_14,B7: VK_15,B8: VK_16,B9:,B10:,B11:,B12: Std_2,C1: YG_1,C2: YG_2,C3: YG_3,C4: YG_4,C5: YG_5,C6: YG_6,C7: YG_7,C8: YG_8,C9:,C10:,C11:,C12: Std_3,D1: YG_9,D2: YG_10,D3: YG_11,D4: YG_12,D5: YG_13,D6: YG_14,D7: YG_15,D8: YG_16,D9:,D10:,D11:,D12: Ladder
338,148.81674236155624,380.5551036653214,479.2559785204442,281.21278176085104,317.0723388384711,6.5658174021278,242.80797217875642,318.92658161656095,2.304335435673896,0.0,1.856952880916756,0.334227536479508,179.4461981757799,260.6624986466272,263.6540289521153,3.975179180083836,200.33469198082486,86.72964284114448,255.39228622740242,80.02103743862963,1.6399945266729645,2.2126626958562325,0.0,2.3001216463096443,151.4509037074429,91.93237713495647,16.918888047122238,148.49849233773722,55.573869374978585,103.33196789269154,84.99523255872585,167.8032063112552,2.1252297673489613,3.83984264562123,2.2368889057849524,0.36370449086175544,24.61633223944723,25.173235739227415,42.80847072581983,89.34692433562212,96.73313199894179,201.72139360873882,46.186027711644755,41.294421295147345,1.8361042572437207,0.023260580441942687,0.0,0.8821534133886237
339,146.93254213454847,375.5270631013439,473.78449186098925,278.20028443031197,312.3174369922098,6.924821461204155,239.15275550217498,314.13229764609054,2.9430885254886023,0.2770014797794142,1.2994568854940223,0.0,176.91967361264716,257.29282754760544,259.59796353561114,4.383849013494311,197.82138495146066,86.30799417943408,252.26721110356578,79.13375271185726,1.471728339714297,1.4935010203832542,0.49232503835624697,2.549611123433016,148.8456530806381,90.88900881468965,16.130592229120712,145.53365612800744,54.36080612265066,100.76922888691189,83.40276459584352,165.83836139155972,1.8430885454794779,3.4066158991333797,1.7924610422750977,0.5077726942081129,24.106842982907203,24.769439905548076,41.7463684703533,87.47772994096084,94.85496891694919,198.10395575070754,45.91187868108006,40.376715435465044,1.3872453839147794,0.668864972171664,0.0,0.3834583494677513
340,144.95999999999998,370.5400000000001,468.36000000000007,275.36,307.72,7.089999999999999,235.73999999999998,309.31000000000006,3.38,0.5799999999999997,0.85,0.0,174.74,253.99999999999997,255.57,4.890000000000001,195.04,85.66,249.28999999999996,78.21,1.3400000000000003,0.7000000000000001,1.0099999999999998,2.37,146.5,90.21,15.550000000000002,142.64,52.910000000000004,97.98000000000002,82.11,163.16,1.6699999999999995,2.7299999999999995,1.4500000000000002,0.76,23.239999999999995,24.429999999999996,40.60000000000001,85.88000000000001,92.99999999999999,194.63,45.739999999999995,39.21,1.2499999999999998,1.02,0.0,0.0
341,143.03013874006274,365.25818252981304,462.632708454311,271.88101161565953,303.293034676681,7.005228107964601,232.5445661963787,304.2908334812317,3.395937846991196,0.40612699713390227,0.5454073012562263,0.0,172.67903348575115,250.41092987955204,251.76464611972054,5.391292721336645,192.27778638196216,84.83411591600238,246.14611596202,77.03801377635374,1.3715572529524356,0.09836440564604379,1.2542981579628694,1.8257421004298038,144.55784755909687,89.60364801527444,15.336708170687587,139.84555987916397,51.59027195050952,95.15935176260314,80.90635613760999,160.23596851005732,1.666664850825805,2.0599826341725507,1.2010402200087442,0.93817922345584,22.460801123596223,24.09332904364672,39.55205775778355,85.06225935951416,91.18357574617957,191.35580359855413,45.45586744201594,37.78844457975696,1.4730147318150035,1.1136706742237714,0.0,0.0
342,141.35965945905463,359.84545573750404,456.50945757069195,267.58073750864196,298.8618017104123,6.899589445921488,229.47154420706386,299.0595805570281,3.085252113553375,0.0,0.29993604031398063,0.5375220618478656,170.98582867717332,246.53030314597427,248.05332726707462,5.82532154134922,189.56409031520295,83.81328613180541,242.75439924250676,75.47551494858921,1.559778324956468,0.0,1.162339218398485,1.1564112746944888,142.8785943733522,88.69780052329948,15.515136679378816,137.12978556667431,50.643266775911286,92.53821608468935,79.57814598165434,157.0471373172271,1.6021767104018563,1.4899913840906103,1.1407554555116706,0.8943656820723114,22.117772478079523,23.70845741318819,38.640324663843685,84.51644109628626,89.5027154931534,188.26599501014292,45.0655487338821,36.368987548075516,1.88237465482619,1.1613547025939732,0.0,0.06865254583654398
343,140.00999999999996,354.56000000000006,450.13999999999993,262.81,294.3399999999999,6.789999999999999,226.38999999999993,293.66,2.67,0.0,0.19,1.4499999999999997,168.75,242.51999999999998,244.25000000000003,6.139999999999999,186.65,82.57999999999998,239.29000000000002,73.65,1.7600000000000002,0.0,0.8100000000000002,0.6000000000000001,141.14,87.30000000000001,15.89,134.45,50.059999999999995,90.27,78.0,153.74,1.25,1.01,1.3699999999999999,0.6999999999999998,22.13,23.22,37.800000000000004,83.73,87.99,185.32,44.64,35.14999999999999,2.1500000000000004,1.2199999999999998,0.0,0.7099999999999999
344,138.85334814746963,349.60537767798724,443.8486065065762,258.1839734509746,289.8134799683955,6.521450183450676,223.16076938536006,288.14582786142336,2.384720348128776,0.0,0.40504563296670826,2.014035769534068,164.78027062473623,238.5708900374721,240.22842413138002,6.294030029740304,183.19505810738625,81.16316516807375,236.06815205569293,71.92597024513762,1.768473681327797,0.15888342763282448,0.3490496855026741,0.302119611559461,138.98488804583877,85.52165804184875,16.09910041657801,131.78527189648455,49.604752746969524,88.37266048745585,76.1781978122587,150.6625750517694,0.5417818479160139,0.5828771957574365,1.9180445447078351,0.5711750078903752,22.08080941682586,22.57818568664146,36.97848603129795,82.54729929016872,86.59581733646128,182.45615306731543,44.22056092102281,34.15602504367232,1.9431390252033678,1.2055362660982631,0.0,1.3607302794071363
345,137.70528288480892,345.1252431496389,437.9419882027733,253.88115180178715,285.5118610276365,6.3683196705855725,219.69034487820116,282.5303486708216,2.3134040272216083,0.0,0.8174254566794844,2.3274611374352405,161.75303897889052,234.7384535330716,236.01047005528577,6.288430343172557,179.34402760952932,79.7076412954713,233.17363755078833,70.60456767950278,1.5622052467132888,0.3960585295841588,0.0,0.1916282037713097,136.37281629444124,83.88612443742899,15.866506467367868,129.23741587950747,49.009743554922146,86.66838889133165,74.29313099916935,147.79489438295317,0.0,0.31400421887590285,2.609967186740145,0.4618653733227663,21.816416154650582,21.79044536056804,36.408176823458234,81.20874170334312,85.28119613534673,179.5599743912932,43.6972850747508,33.211702830184734,1.3159997836518784,1.2508416048847044,0.0,1.7073069218734949
346,136.41000000000003,341.09000000000003,432.6,249.81999999999996,281.55,6.4399999999999995,215.96,276.86,2.4599999999999995,0.0,1.1900000000000002,2.53,160.28,230.95,231.68,6.170000000000001,175.53999999999996,78.34,230.51,69.76000000000002,1.22,0.5199999999999999,0.0,0.23999999999999994,133.61,82.79,15.230000000000002,126.82,48.13999999999999,84.97,72.54,145.0,0.0,0.32999999999999996,3.2300000000000004,0.3499999999999999,21.310000000000006,20.97,35.85000000000001,79.78,84.07000000000001,176.51,43.01,32.22,0.62,1.4599999999999995,0.0,1.5600000000000003
347,134.87043902821608,337.2819197768234,427.81815300812605,245.85757966094735,277.8760552512259,6.5717411270115305,212.03657556903295,271.2340899120278,2.761258137922785,0.0,1.3067130417591724,2.6393761457987304,158.42549600129703,227.0463454598726,227.37514357145164,6.011794361694284,172.2515456399641,77.1346408814745,227.88579059545836,69.22445854446195,0.8685557671182049,0.5245220997320176,0.0,0.5035620910322792,131.18132582338686,82.25215716320082,14.518845809552724,124.39565407902704,47.038118358915625,83.16789506177874,71.02285767845626,142.14674888138094,0.0,0.6795573656908183,3.6182500725676188,0.2875301462686731,20.602752934188054,20.310900198963363,34.79896890260998,78.10363440655162,83.0249040013153,173.21626526978733,42.21235582267381,31.252572698322155,0.30759828769881425,1.8127259400408005,0.0,0.933086716711851
